"Source","Target"
18,1
18,2
18,4
18,5
18,7
18,8
18,9
18,12
18,15
18,17
19,1
19,3
19,5
19,7
19,8
19,12
19,14
19,15
20,1
20,3
20,4
20,5
20,7
20,12
20,13
20,15
21,1
21,3
21,4
21,5
21,7
21,12
21,13
21,15
22,1
22,5
22,7
22,8
22,12
22,13
22,15
23,1
23,2
23,5
23,7
23,14
23,15
23,16
24,2
24,4
24,5
24,7
24,12
24,14
24,15
25,1
25,2
25,4
25,7
25,12
25,13
25,15
26,1
26,3
26,4
26,5
26,7
26,13
26,15
27,4
27,5
27,7
27,9
27,12
27,13
27,15
28,1
28,2
28,7
28,11
28,13
28,15
28,16
29,1
29,2
29,7
29,11
29,13
29,15
29,16
30,1
30,2
30,4
30,5
30,7
30,13
30,15
31,1
31,5
31,7
31,10
31,12
31,14
31,15
32,1
32,2
32,7
32,13
32,14
32,15
33,2
33,4
33,5
33,7
33,13
33,15
34,1
34,2
34,7
34,13
34,15
34,17
35,2
35,4
35,5
35,7
35,12
35,15
36,4
36,5
36,7
36,9
36,12
36,15
37,4
37,5
37,8
37,12
37,13
37,15
38,4
38,5
38,7
38,11
38,12
38,13
39,1
39,2
39,4
39,5
39,7
39,15
40,2
40,3
40,4
40,7
40,11
40,13
41,1
41,2
41,7
41,9
41,13
41,14
42,1
42,2
42,5
42,7
42,12
42,15
43,1
43,2
43,4
43,5
43,7
43,15
44,1
44,2
44,4
44,7
44,13
44,16
45,1
45,5
45,12
45,13
45,14
45,15
46,1
46,2
46,4
46,11
46,13
46,15
47,2
47,4
47,5
47,7
47,12
47,15
48,1
48,4
48,5
48,7
48,11
48,15
49,1
49,2
49,3
49,4
49,5
49,12
50,1
50,2
50,4
50,7
50,13
50,15
51,1
51,2
51,4
51,5
51,12
51,13
52,1
52,2
52,3
52,7
52,14
52,16
53,1
53,2
53,3
53,7
53,14
53,16
54,1
54,2
54,4
54,5
54,15
54,16
55,1
55,2
55,5
55,7
55,12
55,15
56,1
56,2
56,5
56,7
56,13
56,15
57,1
57,2
57,4
57,5
57,13
57,15
58,1
58,5
58,7
58,12
58,14
58,15
59,2
59,3
59,4
59,7
59,11
59,13
60,1
60,2
60,3
60,4
60,7
60,13
61,1
61,4
61,5
61,7
61,9
61,15
62,1
62,4
62,5
62,7
62,13
62,15
63,1
63,7
63,12
63,13
63,14
63,15
64,2
64,4
64,7
64,12
64,14
64,15
65,1
65,4
65,7
65,12
65,14
65,16
66,1
66,7
66,12
66,14
66,15
66,16
67,1
67,4
67,9
67,14
67,15
67,17
68,1
68,2
68,9
68,12
68,14
68,15
69,1
69,2
69,5
69,7
69,12
69,15
70,1
70,2
70,4
70,5
70,7
70,16
71,1
71,7
71,9
71,12
71,14
71,15
72,1
72,2
72,5
72,7
72,15
72,16
73,1
73,2
73,3
73,4
73,12
73,14
74,1
74,2
74,6
74,7
74,15
74,17
75,1
75,7
75,10
75,12
75,14
75,15
76,1
76,4
76,5
76,7
76,13
76,15
77,1
77,2
77,3
77,4
77,10
77,14
78,1
78,2
78,4
78,5
78,12
78,15
79,1
79,2
79,9
79,14
79,15
79,16
80,1
80,4
80,5
80,7
80,11
80,13
81,1
81,2
81,5
81,7
