"V1","V2"
18,1
18,2
18,4
18,5
18,7
18,8
18,9
18,12
18,15
18,17
19,1
19,3
19,5
19,7
19,8
19,12
19,14
19,15
20,1
20,3
20,4
20,5
20,7
20,12
20,13
20,15
21,1
21,5
21,7
21,8
21,12
21,13
21,15
22,1
22,2
22,5
22,7
22,14
22,15
22,16
23,2
23,4
23,5
23,7
23,12
23,14
23,15
24,1
24,2
24,4
24,7
24,12
24,13
24,15
25,1
25,3
25,4
25,5
25,7
25,13
25,15
26,4
26,5
26,7
26,9
26,12
26,13
26,15
27,1
27,2
27,7
27,11
27,13
27,15
27,16
28,1
28,2
28,4
28,5
28,7
28,13
28,15
29,1
29,5
29,7
29,10
29,12
29,14
29,15
30,1
30,2
30,7
30,13
30,14
30,15
31,2
31,4
31,5
31,7
31,13
31,15
32,1
32,2
32,7
32,13
32,15
32,17
33,2
33,4
33,5
33,7
33,12
33,15
34,4
34,5
34,7
34,9
34,12
34,15
35,4
35,5
35,8
35,12
35,13
35,15
36,4
36,5
36,7
36,11
36,12
36,13
37,1
37,2
37,4
37,5
37,7
37,15
38,2
38,3
38,4
38,7
38,11
38,13
39,1
39,2
39,7
39,9
39,13
39,14
40,1
40,2
40,5
40,7
40,12
40,15
41,1
41,2
41,4
41,7
41,13
41,16
42,1
42,5
42,12
42,13
42,14
42,15
43,1
43,2
43,4
43,11
43,13
43,15
44,1
44,4
44,5
44,7
44,11
44,15
45,1
45,2
45,3
45,4
45,5
45,12
46,1
46,2
46,4
46,7
46,13
46,15
47,1
47,2
47,4
47,5
47,12
47,13
48,1
48,2
48,3
48,7
48,14
48,16
49,1
49,2
49,4
49,5
49,15
49,16
50,1
50,2
50,5
50,7
50,13
50,15
51,1
51,2
51,4
51,5
51,13
51,15
52,1
52,5
52,7
52,12
52,14
52,15
53,1
53,2
53,3
53,4
53,7
53,13
54,1
54,4
54,5
54,7
54,9
54,15
55,1
55,4
55,5
55,7
55,13
55,15
56,1
56,7
56,12
56,13
56,14
56,15
57,2
57,4
57,7
57,12
57,14
57,15
58,1
58,4
58,7
58,12
58,14
58,16
59,1
59,7
59,12
59,14
59,15
59,16
60,1
60,4
60,9
60,14
60,15
60,17
61,1
61,2
61,9
61,12
61,14
61,15
62,1
62,2
62,4
62,5
62,7
62,16
63,1
63,7
63,9
63,12
63,14
63,15
64,1
64,2
64,5
64,7
64,15
64,16
65,1
65,2
65,3
65,4
65,12
65,14
66,1
66,2
66,6
66,7
66,15
66,17
67,1
67,7
67,10
67,12
67,14
67,15
68,1
68,2
68,3
68,4
68,10
68,14
69,1
69,2
69,4
69,5
69,12
69,15
70,1
70,2
70,9
70,14
70,15
70,16
71,1
71,4
71,5
71,7
71,11
71,13
72,1
72,2
72,5
72,7
72,9
72,12
73,1
73,2
73,7
73,9
73,15
74,1
74,4
74,7
74,13
74,16
75,2
75,5
75,7
75,13
75,15
76,5
76,7
76,9
76,12
76,15
77,1
77,4
77,7
77,13
77,17
78,1
78,2
78,7
78,13
78,15
79,1
79,2
79,5
79,13
79,17
80,4
80,5
80,7
80,11
80,13
81,1
81,7
81,12
81,13
81,14
82,1
82,2
82,7
82,13
82,17
83,4
83,5
83,7
83,12
83,15
