"ID","Size"
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,2
21,1
22,1
23,1
24,1
25,1
26,1
27,2
28,1
29,1
30,1
31,1
32,1
33,2
34,1
35,1
36,1
37,2
38,2
39,1
40,3
41,1
42,1
43,1
44,1
45,1
46,1
47,1
48,2
49,1
50,1
51,1
52,1
53,1
54,1
55,2
56,1
57,1
58,1
59,1
60,1
61,1
62,1
63,1
64,1
65,1
66,1
67,1
68,1
69,1
70,1
71,1
72,1
73,2
74,1
75,2
76,9
77,1
78,2
79,1
80,2
81,1
82,7
83,9
84,5
85,3
86,1
87,3
88,1
89,1
90,1
91,1
92,3
93,5
94,1
95,2
96,9
97,1
98,3
99,1
100,4
101,2
102,4
103,2
104,1
105,1
106,1
107,3
108,1
109,1
110,7
111,12
112,17
113,3
114,1
115,1
116,2
117,1
118,3
119,1
120,1
121,1
122,1
123,1
124,4
125,7
126,2
127,6
128,1
129,5
130,1
131,6
132,10
133,1
134,1
135,1
136,5
137,1
138,1
139,3
140,1
141,1
142,2
143,3
144,1
145,1
146,1
147,2
148,3
149,3
150,1
151,1
152,3
153,2
154,2
155,5
156,1
157,2
158,1
159,2
160,1
161,2
162,1
163,2
164,3
165,2
166,7
167,2
168,3
169,1
170,4
171,1
172,1
173,3
174,1
175,1
176,3
177,1
178,3
179,2
180,1
181,1
182,1
183,2
184,1
185,3
186,5
187,1
188,1
189,1
190,3
191,3
192,7
193,1
194,1
195,1
196,1
197,1
198,1
199,1
200,7
201,1
202,1
203,1
204,1
205,1
206,1
207,1
208,1
209,1
210,1
211,1
212,1
213,1
214,1
215,1
216,1
217,2
218,1
219,1
220,1
221,2
222,1
223,2
224,1
225,2
226,1
227,1
228,1
229,1
230,1
231,1
232,1
233,1
234,1
235,1
236,1
237,1
238,1
239,1
240,1
241,2
242,1
243,1
244,2
245,1
246,2
247,1
248,1
249,1
250,1
251,1
252,1
253,1
254,1
255,1
256,3
257,15
258,9
259,3
260,18
261,10
262,15
263,7
264,7
265,106
266,3
267,16
268,1
269,10
270,8
271,27
272,1
273,1
274,4
275,23
276,3
277,12
278,31
279,6
280,35
281,4
282,1
283,2
284,1
285,1
286,35
287,3
288,17
289,31
290,2
291,4
292,1
293,7
294,37
295,17
296,17
297,4
298,2
299,3
300,1
301,3
302,2
303,4
304,14
305,7
306,5
307,11
308,10
309,1
310,74
311,1
312,2
313,6
314,3
315,1
316,25
317,1
318,4
319,2
320,1
321,8
322,4
323,1
324,1
325,9
326,1
327,1
328,1
329,1
330,2
331,4
332,2
333,21
334,2
335,3
336,4
337,2
338,1
339,27
340,1
341,1
342,3
343,1
344,1
345,1
346,1
347,1
348,1
349,12
350,1
351,152
352,2
353,20
354,2
355,3
356,2
357,1
358,4
359,13
360,2
361,17
362,1
363,1
364,8
365,3
366,4
367,2
368,3
369,10
370,22
371,1
372,1
373,1
374,16
375,3
376,6
377,2
378,5
379,4
380,3
381,7
382,6
383,1
384,5
385,9
386,5
387,17
388,9
389,1
390,2
391,2
392,1
393,13
394,1
395,1
396,14
397,2
398,1
399,1
400,3
401,1
402,3
403,6
404,20
405,4
406,2
407,6
408,13
409,1
410,39
411,1
412,5
413,8
414,2
415,1
416,3
417,8
418,1
419,1
420,4
421,1
422,2
423,25
424,2
425,2
426,2
427,3
428,4
429,5
430,39
431,1
432,3
433,6
434,4
435,1
436,9
437,5
438,2
439,1
440,1
441,1
442,2
443,2
444,1
445,4
446,1
447,5
448,4
449,8
450,2
451,3
452,7
453,3
454,2
455,1
456,2
457,1
458,2
459,1
460,1
461,1
462,1
463,1
464,1
465,2
466,1
467,2
468,2
469,3
470,3
471,3
472,1
473,1
474,1
475,2
476,1
477,6
478,2
479,1
480,2
481,4
482,1
483,1
484,5
485,1
486,3
487,5
488,1
489,7
490,1
491,2
492,1
493,1
494,1
495,1
496,1
497,2
498,2
499,1
500,5
501,1
502,2
503,1
504,2
505,2
506,1
507,7
508,1
509,1
510,20
511,1
512,1
513,1
514,1
515,1
516,2
517,2
518,1
519,2
520,2
521,1
522,1
523,1
524,1
525,1
526,1
527,1
528,1
529,2
530,4
531,1
532,1
533,1
534,3
535,1
536,6
537,3
538,1
539,8
540,1
541,2
542,2
543,1
544,1
545,2
546,2
547,3
548,1
549,2
550,1
551,1
552,1
553,3
554,1
555,4
556,2
557,1
558,1
559,1
560,1
561,3
562,1
563,1
564,1
565,1
566,1
567,2
568,1
569,1
570,1
571,1
572,1
573,1
574,1
575,1
576,1
577,1
578,1
579,1
580,1
581,1
582,1
583,1
584,1
585,2
586,1
587,1
588,2
589,1
590,1
591,1
592,1
593,1
594,2
595,1
596,1
597,1
598,1
599,1
600,1
601,1
